Date,d15min,d30min,d45min,d1h,d2h,d3h,d4h,d6h,d8h,d12h,d24h
2013-07-05,10.0,15.0,15.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
2013-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0,17.0
2013-07-07,21.0,36.0,50.0,57.0,65.0,69.0,69.0,69.0,69.0,69.0,69.0
2013-07-08,4.0,7.0,10.0,31.0,65.0,70.0,72.0,80.0,84.0,84.0,84.0
2013-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
2013-07-10,8.0,8.0,13.0,13.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
2013-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0
2013-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-15,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2013-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2013-07-17,121.0,199.0,199.0,210.0,210.0,210.0,220.0,220.0,220.0,220.0,220.0
2013-07-18,20.0,20.0,20.0,20.0,20.0,20.0,20.0,23.0,220.0,220.0,240.0
2013-07-19,56.0,71.0,81.0,81.0,152.0,165.0,176.0,176.0,176.0,190.0,213.0
2013-07-20,42.0,47.0,50.0,50.0,52.0,52.0,52.0,52.0,176.0,176.0,228.0
2013-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
2013-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-23,52.0,59.0,65.0,71.0,90.0,95.0,98.0,100.0,100.0,100.0,107.0
2013-07-24,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,9.0,109.0
2013-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2013-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-27,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2013-07-28,48.0,48.0,48.0,48.0,73.0,73.0,73.0,110.0,110.0,110.0,110.0
2013-07-29,22.0,29.0,29.0,29.0,29.0,29.0,37.0,37.0,110.0,110.0,139.0
2013-07-30,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,31.0,31.0
2013-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,49.0,55.0,64.0,70.0,72.0,72.0,72.0,75.0,75.0,75.0,75.0
2013-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,75.0,75.0
2013-08-03,2.0,2.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2013-08-04,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0
2013-08-05,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0
2013-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2013-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
